Tool names,DOI,Domain,Year Published,Web-based,Controlled access (for web-based): does it require login or sign up or payment?,Command-line,Both,Package manager availability - Anaconda,Package manager availability - Bioconductor,Package manager availability - R package manager (includes CRAN),Package manager availability - Python based package manager (includes pypi),Package manager availability - Other (homebrew and ubuntu),Thread availability,Docker support,Number of releases - Stand alone website,Number of releases - Anaconda,Number of releases for Pypi,Number of releases for CRAN/R,Number of releases for Bioconductor,Number of releases for Github/Sourceforget,Number of Releases per Year for standalone website,Number of releases per year for Anaconda,Number of releases per year for Pypi,Number of releases per year for CRAN,Number of releases per year for Bioconductor,Number of releases per year for github and source forge,Required Expertise,Has_Documentation,Has_Package_Manager,Has_Toy_Examples,Source Code Link,Link is Broken,Storage location - Github / Gitlab / sourceforge / Google code / bitbucket,Storage location anaconda,Storage location mamba,Storage location docker,Storage location python,Storage location bioconductor,Storage location other,Storage location for tools on web server,Comparison to other tools in the original publication - only note whether benchmarked or not.,Tools Benchmarked Against,License,Number of citations,Citations per year
rQuant.web,https://pmc.ncbi.nlm.nih.gov/articles/PMC2896134/,Transcriptome quantification,2009,Y,Y,N,N,N,N,N,N,N,N,N,1,0,0,0,0,0,0.0625,0,0,0,0,0,3,N,N,Y,https://galaxy.inf.ethz.ch/,N,n,n,,n,n,n,n,n,N,n,n,101,6.3125
MISO,10.1038/nmeth.1528,Transcriptome quantification,2010,N,N,Y,N,Y,N,N,Y,N,N,Y,0,1,18,0,0,1,0,0.0625,1.125,0,0,0.0625,"1,2,3",Y,Y,Y,http://genes.mit.edu/burgelab/miso,N,https://github.com/yarden/MISO,https://anaconda.org/bioconda/misopy,,https://biocontainers.pro/tools/misopy,https://pypi.org/project/misopy/,,,http://hollywood.mit.edu/burgelab/miso/,Y,"qRT-PCR, Alternative-splicing quantification and Ψ̂_SJ (the standard splice junction-based estimator) (benchmarked against methods but not against other tools )",GPL2,1570,104.6666667
SOLAS,https://doi.org/10.1093/nar/gkq041,Transcriptome quantification,2010,N,N,Y,N,N,N,Y,N,N,N,N,1,0,0,0,0,0,0.06666666667,0,0,0,0,0,1,Y,N,N,https://cmb.molgen.mpg.de/2ndGenerationSequencing/Solas/,N,N,N,,N,N,N,N,N,N,N,N,213,14.2
Cufflinks-Bias,10.1186/gb-2011-12-3-r22,Transcriptome quantification,2011,N,N,Y,N,N,N,N,N,N,N,N,1,0,0,0,0,0,0.07142857143,0,0,0,0,0,0,N,N,N,https://math.berkeley.edu/cufflinks/,Y,n,n,,n,n,n,https://math.berkeley.edu/cufflinks/,n,Y,Genominator and mseq,"Boost Software License, version 1.0.",1135,81.07142857
IsoEM,10.1186/1748-7188-6-9,Transcriptome quantification,2011,N,N,Y,N,N,N,N,N,N,N,N,1,0,0,0,0,0,0.07142857143,0,0,0,0,0,0,N,N,N,https://dna.engr.uconn.edu/software/IsoEM/,Y,n,n,,n,n,n,n,https://dna.engr.uconn.edu/software/IsoEM/,N,y,"uniq, RSEM, cufflinks, rescue, uniqLN,",102,7.285714286
SLIDE,https://doi.org/10.1073/pnas.1113972108,Transcriptome quantification,2011,N,N,Y,N,N,N,N,N,N,N,N,1,0,0,0,0,0,0.07142857143,0,0,0,0,0,0,N,N,N,https://sites.google.com/site/jingyijli/SLIDE.zip,Y,n,n,,n,n,n,n,n,Y,,n,195,13.92857143
EDASeq,https://doi.org/10.1186/1471-2105-12-480,Transcriptome quantification,2011,N,N,Y,N,Y,Y,N,N,N,N,Y,0,1,0,0,28,0,0,0.06666666667,0,0,1.866666667,0,"1,2,3",Y,Y,Y,http://www.bioconductor.org,N,https://github.com/drisso/EDASeq,https://anaconda.org/bioconda/bioconductor-edaseq,,https://hub.docker.com/r/thugenomefacility/edaseq,N,https://bioconductor.org/packages/release/bioc/html/EDASeq.html,N,N,N,N,Artistic-2.0,1131,80.78571429
RSEM,https://doi.org/10.1186/1471-2105-12-323,Transcriptome quantification,2011,Y,Y,Y,N,Y,N,N,N,N,Y,Y,1,7,0,0,0,14,0.07142857143,0.4666666667,0,0,0,0.9333333333,"1,2,3",Y,Y,Y,http://deweylab.biostat.wisc.edu/rsem,N,https://github.com/deweylab/RSEM,https://anaconda.org/bioconda/RSEM,,https://biocontainers.pro/tools/rsem,,,,http://deweylab.biostat.wisc.edu/rsem,Y,"IsoEM, Cufflinks, rQuant",GNU General Public License Version 3+,20382,1455.857143
BBSeq,https://doi.org/10.1093/bioinformatics/btr449,Transcriptome quantification,2011,N,N,Y,N,N,N,N,N,N,N,N,1,0,0,0,0,0,0.07142857143,0,0,0,0,0,"1,2",Y,Y,N,https://www.bios.unc.edu/research/genomic_software/BBSeq/,N,n,n,,n,n,n,https://www.bios.unc.edu/research/genomic_software/BBSeq/,n,N,n,n,115,8.214285714
SAMMate,https://doi.org/10.1186/1751-0473-6-2,Transcriptome quantification,2011,N,N,N,N,N,N,N,N,N,Y,N,0,0,0,0,0,1,0,0,0,0,0,0.06666666667,"1,3",Y,N,Y,https://sammate.sourceforge.net/,N,https://sammate.sourceforge.net/,,,,,,,,Y,"Tophat, Novoalign",GNU General Public License Version 2,76,5.428571429
CEM,https://doi.org/10.1093/bioinformatics/bts559,Transcriptome quantification,2012,N,N,Y,N,N,N,N,N,N,N,N,1,0,0,0,0,0,0.07692307692,0,0,0,0,0,1,Y,N,N,http://www.cs.ucr.edu/~liw/cem.html,N,,,,,,,,http://www.cs.ucr.edu/~liw/cem.html,Y,"IsoLasso, Cufflinks, Cufflinks-bias(Roberts Aet al., Improving RNA-Seq expression estimates by correcting for fragment bias, Genome Biol., 2011, vol. 12 pg. R22)",,103,7.923076923
IQSeq,https://doi.org/10.1371/journal.pone.0029175,Transcriptome quantification,2012,N,N,Y,N,N,N,N,N,N,N,N,1,0,0,0,0,1,0.07692307692,0,0,0,0,0.07142857143,1,Y,N,N,http://archive.gersteinlab.org/proj/rnaseq/IQSeq,N,https://github.com/gersteinlab/IQSeq,,,,,,,http://archive.gersteinlab.org/proj/rnaseq/IQSeq,Y,Cufflinks,,10,0.7692307692
Traph,https://doi.org/10.1186/1471-2105-14-S5-S15,Transcriptome quantification,2013,N,N,Y,N,N,N,N,N,N,N,N,1,0,0,0,0,0,0.08333333333,0,0,0,0,0,0,N,N,N,http://www.cs.helsinki.fi/gsa/traph/,Y,n,n,,n,n,n,n,n,Y,,n,109,9.083333333
TrueSight,http://doi.org/10.1093/nar/gks1311,Transcriptome quantification,2013,N,N,Y,N,N,N,N,N,N,Y,N,1,0,0,0,0,0,0.08333333333,0,0,0,0,0,1,Y,N,N,http://bioen-compbio.bioen.illinois.edu/TrueSight/,Y,,,,,,,,https://web.archive.org/web/20180103134902/http://bioen-compbio.bioen.illinois.edu/TrueSight/,Y,"TopHat, MapSplice, PASSion",The GNU General Public License v3.0,44,3.666666667
eXpress,https://www.nature.com/articles/nmeth.2251,Transcriptome quantification,2013,Y,N,Y,N,N,N,N,N,N,Y,N,1,0,0,0,0,0,0.08333333333,0,0,0,0,0,0,N,N,N,http://bio.math.berkeley.edu/eXpress/,Y,n,n,,n,n,n,https://manpages.ubuntu.com/manpages/bionic/man1/,n,Y,,n,1115,92.91666667
MITIE,https://doi.org/10.1093/bioinformatics/btt442,Transcriptome quantification,2013,N,N,Y,N,N,N,N,N,N,Y,N,0,0,0,0,0,1,0,0,0,0,0,0.07692307692,0,N,N,N,http://bioweb.me/mitie,Y,https://github.com/ratschlab/MiTie,,,,,,,,Y,"Cufflinks, Cufflinks + Cuffmerge, Trinity,",GPL 3+,78,6.5
iReckon,https://doi.org/10.1101/gr.142232.112,Transcriptome quantification,2013,N,N,Y,N,N,N,N,N,N,Y,N,2,0,0,0,0,0,0.1666666667,0,0,0,0,0,1,Y,N,N,http://compbio.cs.toronto.edu/ireckon,N,,,,,,,,http://compbio.cs.toronto.edu/ireckon,Y,"Cufflinks, IsoLasso, SLIDE","Apache License, Version 2.0",166,13.83333333
Sailfish,https://doi.org/10.1038/nbt.2862,Transcriptome quantification,2014,Y,Y,Y,N,Y,N,N,N,N,Y,Y,1,3,0,0,0,25,0.09090909091,0.25,0,0,0,2.083333333,"1,2",Y,Y,N,https://www.cs.cmu.edu/~ckingsf/software/sailfish/,N,https://github.com/kingsfordgroup/sailfish,https://anaconda.org/bioconda/sailfish,,https://biocontainers.pro/tools/sailfish,,,,https://www.cs.cmu.edu/~ckingsf/software/sailfish/,Y,"RSEM, eXpress, Cufflinks",GPL3,802,72.90909091
Maxcounts,https://doi.org/10.1186/1471-2105-15-s1-s7,Transcriptome quantification,2014,N,N,Y,N,N,N,N,N,B,N,N,0,0,0,0,0,1,0,0,0,0,0,0.08333333333,"1,3",Y,N,Y,https://gitlab.com/sysbiobig/maxcounts/,N,https://gitlab.com/sysbiobig/maxcounts/,,,,,,,https://sysbiobig.dei.unipd.it/software/maxcounts/,Y,"totcounts, RPKM-corrected totcounts (RPKM) and totcounts corrected with within-lane full-quantile normalization over exon length (FullQ).",GPL2,61,5.545454545
Featurecounts,https://doi.org/10.1093/bioinformatics/btt656,Transcriptome quantification,2014,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,,N,N,N,,N,,,,,,,,,N,,,,
Casper,https://doi.org/10.1214/13-aoas687,Transcriptome quantification,2014,N,N,Y,N,N,Y,N,N,N,Y,N,0,0,0,0,24,0,0,0,0,0,2,0,"1,2,3",Y,Y,Y,https://www.bioconductor.org/packages/release/bioc/html/casper.html,N,,,,https://biocontainers.pro/tools/bioconductor-casper,,https://www.bioconductor.org/packages/release/bioc/html/casper.html,,,Y,"Cufflinks, FluxCapacitor, BitSeq",GPL (>=2),,
FIXSEQ,https://doi.org/10.1371/journal.pcbi.1003494,Transcriptome quantification,2014,N,N,Y,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,"1,3",Y,N,Y,https://cgs.csail.mit.edu/fixseq,Y,https://bitbucket.org/thashim/fixseq/src/master/,,,,,,,https://cgs.csail.mit.edu/fixseq,N,,GPL,21,1.909090909
SLaP mapper,https://www.sciencedirect.com/science/article/pii/S0166685114000905,Transcriptome quantification,2014,Y,Y,N,N,N,N,N,N,N,N,N,1,0,0,0,0,0,0.09090909091,0,0,0,0,0,"1,3",Y,N,Y,http://www.stevekellylab.com/software/slap,N,n,n,,n,n,n,n,http://www.stevekellylab.com/software/slap,N,,n,12,1.090909091
EMSAR,https://doi.org/10.1186/s12859-015-0704-z,Transcriptome quantification,2015,N,N,Y,N,N,N,N,N,N,Y,Y,0,0,0,0,0,2,0,0,0,0,0,0.1818181818,"1,3",Y,N,Y,https://github.com/parklab/emsar,N,https://github.com/parklab/emsar,,,https://hub.docker.com/r/duplexa/emsar,,,,,Y,"RSEM, eXpress, Cufflinks, IsoEM, Sailfish",No License,20,2
ASEQ,http://doi.org/10.1186/s12920-015-0084-2,Transcriptome quantification,2015,N,N,Y,N,N,N,N,N,N,Y,N,0,0,0,0,0,1,0,0,0,0,0,0.09090909091,"1,3",Y,N,Y,http://demichelislab.unitn.it/ASEQ,N,https://bitbucket.org/CibioBCG/aseq/src/master/,,,,,,,,Y,"AlleleSeq, MBASED, samtools mpileup",MIT License,78,7.8
Ht-seq,https://doi.org/10.1093/bioinformatics/btu638,Transcriptome quantification,2015,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,0,18,83,0,0,0,0,1.636363636,7.545454545,0,0,0,"1,2,3",Y,Y,Y,https://pypi.org/project/HTSeq/ AND https://www-huber.embl.de/HTSeq,N AND Y,https://github.com/htseq/htseq,https://anaconda.org/bioconda/htseq,,https://hub.docker.com/r/biocontainers/htseq,https://pypi.org/project/htseq,,,ttps://www-huber.embl.de/HTSeq,N,,GPL3,20749,2074.9
Rcount,https://doi.org/10.1093/bioinformatics/btu680,Transcriptome quantification,2015,N,N,Y,N,N,N,N,N,N,N,N,0,0,0,0,0,1,0,0,0,0,0,0.09090909091,"1,3",Y,N,Y,https://github.com/MWSchmid/Rcount,N,https://github.com/MWSchmid/Rcount,,,,,,,,N,,GPL3,42,4.2
Scran,doi:10.12688/f1000research.9501.2,Transcriptome quantification,2016,Y,N,Y,N,Y,Y,N,N,N,N,N,0,41,0,0,0,1,0,4.1,0,0,0,0.1,"1,2,3",Y,Y,Y,https://bioconductor.org/packages/release/bioc/html/scran.html,N,https://github.com/MarioniLab/scran/,https://anaconda.org/bioconda/bioconductor-scran,,n,n,https://bioconductor.org/packages/release/bioc/html/scran.html,n,n,N,n,n,1675,186.1111111
Kallisto,https://doi.org/10.1038/nbt.3519,Transcriptome quantification,2016,Y,Y,Y,Y,Y,N,N,Y,H,Y,Y,13,15,9,0,0,20,1.444444444,1.5,0.9,0,0,2,"1,2,3",Y,Y,Y,http://pachterlab.github.io/kallisto/,N,https://github.com/pachterlab/kallisto,https://anaconda.org/bioconda/kallisto,,https://hub.docker.com/r/zlskidmore/kallisto OR https://hub.docker.com/r/kapeel/kallisto_wrapper,https://pypi.org/project/kallisto/,,https://formulae.brew.sh/formula/kallisto,https://pachterlab.github.io/kallisto/download.html,Y,"TopHat2 + Cufflinks, HISAT + Cufflinks, Sailfish, Bowtie2 + eXPress, EMSAR, Bowtie2 + RSEM",BDS-2-Clause License,9082,1009.111111
MMSEQ,https://doi.org/10.1186/gb-2011-12-2-r13,Transcriptome quantification,2017,Y,N,Y,N,N,N,N,N,Y,Y,N,1,0,0,0,0,13,0.125,0,0,0,0,1.444444444,1,Y,N,N,https://bgx.org.uk/software/mmseq.html,N,https://github.com/eturro/mmseq#mmseq-transcript-and-gene-level-expression-analysis-using-multi-mapping-rna-seq-reads,N,,N,N,N,https://formulae.brew.sh/formula/mmseqs2#default,N,Y,RSEM,GPL 2.0,310,38.75
Salmon,https://doi.org/10.1038/nmeth.4197,Transcriptome quantification,2017,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,0,39,0,0,0,46,0,4.333333333,0,0,0,5.111111111,"1,2,3",Y,Y,Y,https://github.com/COMBINE-lab/Salmon,N,https://github.com/COMBINE-lab/Salmon,https://github.com/COMBINE-lab/Salmon,,https://hub.docker.com/r/biocontainers/salmon OR https://hub.docker.com/r/kapeel/ubuntu-salmon,,,,,Y,"Kallisto, eXpress",GPL3,9840,1230
Scanpy,https://doi.org/10.1186/s13059-017-1382-0,Transcriptome quantification,2018,Y,Y,Y,N,Y,N,N,Y,N,Y,Y,0,21,85,0,0,90,0,2.625,10.625,0,0,11.25,"1,2,3",Y,Y,Y,https://github.com/theislab/Scanpy,N,https://github.com/theislab/Scanpy,"https://anaconda.org/conda-forge/scanpy
  https://anaconda.org/bioconda/scanpy",,https://biocontainers.pro/tools/scanpy,https://pypi.org/project/scanpy/,,,,Y,Cell Ranger,BSD-3-Clause license,6621,945.8571429
RiboCode,http://doi.org/10.1093/nar/gky179,Transcriptome quantification,2018,N,N,Y,N,Y,N,N,Y,N,Y,Y,0,10,19,0,0,6,0,1.25,2.375,0,0,0.75,"1,2,3",Y,Y,Y,"https://pypi.python.org/pypi/RiboCode,http://anaconda.org/bioconda/ribocode,http://github.com/xryanglab/RiboCode",N,https://github.com/xryanglab/RiboCode,https://anaconda.org/bioconda/Ribocode,,https://biocontainers.pro/tools/ribocode,https://pypi.org/project/Ribocode,,,,Y,"RiboTaper, ORFscore",MIT,130,18.57142857
Wub,https://www.nature.com/articles/nmeth.4577#Sec8,Transcriptome quantification,2018,N,N,Y,N,Y,N,N,N,N,N,N,0,6,0,0,0,1,0,0.75,0,0,0,0.125,"1,2",Y,Y,N,https://github.com/nanoporetech/wub,N,https://github.com/nanoporetech/wub,https://anaconda.org/bioconda/wub,,,,,,,N,,Mozilla Public License 2.0,1136,162.2857143
MelonnPan,https://doi.org/10.1038/s41467-019-10927-1,Transcriptome quantification,2019,N,N,Y,N,N,N,N,N,N,Y,Y,1,0,0,0,0,1,0.1666666667,0,0,0,0,0.1428571429,"1,3",Y,N,Y,https://huttenhower.sph.harvard.edu/melonnpan,N,https://github.com/biobakery/melonnpan,,,https://hub.docker.com/r/biobakery/melonnpan,,,,https://huttenhower.sph.harvard.edu/melonnpan,N,,MIT License,253,42.16666667
TALON,https://doi.org/10.1101/672931,Transcriptome quantification,2019,N,N,Y,N,Y,N,N,N,N,Y,Y,0,4,0,0,0,18,0,0.5714285714,0,0,0,2.571428571,"1,2,3",Y,Y,Y,https://github.com/mortazavilab/TALON,N,https://github.com/mortazavilab/TALON,https://anaconda.org/bioconda/talon,,https://hub.docker.com/r/biocontainers/talon,,,,,Y,FLAIR,MIT,121,20.16666667
LIQA,https://doi.org/10.1186/s13059-021-02399-8,Transcriptome quantification,2021,N,N,Y,N,Y,N,N,Y,N,N,Y,0,1,23,0,0,3,0,0.2,4.6,0,0,0.6,"1,2,3",Y,Y,Y,https://github.com/WGLab/LIQA,N,https://github.com/WGLab/LIQA,https://anaconda.org/bioconda/LIQA,,https://hub.docker.com/r/ajslee/liqa,https://pypi.org/project/liqa/,,,,Y,"FLAIR, Mandalorian, TALON, ONP",GPLv3,75,18.75
NanoCount,https://pmc.ncbi.nlm.nih.gov/articles/PMC8886870/,Transcriptome quantification,2021,N,N,Y,N,Y,N,N,Y,N,N,Y,0,1,25,0,0,25,0,0.2,5,0,0,5,"1,2",Y,Y,N,https://github.com/a-slide/NanoCount,N,https://github.com/a-slide/NanoCount,https://anaconda.org/bioconda/nanocount/files,,https://hub.docker.com/r/tleonardi/nanocount,https://pypi.org/project/NanoCount/,n,n,n,N,,MIT,90,22.5
RNA-combine,https://doi.org/10.1186/s12859-021-04549-y,Transcriptome quantification,2022,N,N,Y,N,N,N,N,N,N,N,N,0,0,0,0,0,1,0,0,0,0,0,0.25,"1,2",Y,Y,N,https://github.com/dongxuemin666/RNA-combine,N,https://github.com/dongxuemin666/RNA-combine,N,,N,N,N,N,N,Y,"RNASeqR, RASflow, scGEAToolbox, NASQAR",MIT License,4,1.333333333
Bambu,doi.org/10.1038/s41592-023-01908-w,Transcriptome quantification,2023,N,N,Y,N,Y,Y,N,N,N,Y,Y,0,14,0,0,1,3,0,4.666666667,0,0,0.3333333333,1,"1,2,3",Y,Y,Y,https://github.com/GoekeLab/bambu/,N,https://github.com/GoekeLab/bambu/,https://anaconda.org/bioconda/bioconductor-Bambu,,https://hub.docker.com/r/cheny1/bambu,,https://www.bioconductor.org/packages/release/bioc/html/bambu.html,,,Y,"FLAIR, TALON, StringTie2, IsoQuant, Salmon, NanoCount, featureCounts, LIQA",GPL3,82,41
IsoQuant,doi.org/10.1038/s41587-022-01565-y,Transcriptome quantification,2023,N,N,Y,N,Y,N,N,N,N,N,Y,0,32,0,0,0,33,0,10.66666667,0,0,0,11,"1,2,3",Y,Y,Y,https://github.com/ablab/IsoQuant,N,https://github.com/ablab/IsoQuant,https://anaconda.org/bioconda/isoquant,,https://hub.docker.com/r/ajslee/isoquant,,,,,Y,"FLAIR, TALON, Bambu, StringTie",Copyright,100,50
IsoTools,https://doi.org/10.1093/bioinformatics/btad364,Transcriptome quantification,2023,N,N,Y,N,N,N,N,Y,N,N,N,1,0,0,0,0,11,0.5,0,0,0,0,3.666666667,"1,2,3",Y,Y,Y,https://isotools.readthedocs.io/,N,https://github.com/MatthiasLienhard/isotools,N,,N,https://pypi.org/project/isotools/,N,N,N,Y,"IsoQuant, TALON, FLAIR, Bambu",MIT License,16,8
VirusSeq,https://doi.org/10.1093/bioinformatics/bts665,Viral detection,2013,N,N,Y,N,N,N,N,N,N,N,N,1,0,0,0,0,0,0.08333333333,0,0,0,0,0,1,Y,N,N,https://odin.mdacc.tmc.edu/~xsu1/VirusSeq.html,N,n,n,,n,n,n,https://odin.mdacc.tmc.edu/~xsu1/VirusSeq.html,n,N,n,n,152,12.66666667
VirusFinder,https://doi.org/10.1371/journal.pone.0064465,Viral detection,2013,N,N,Y,N,N,N,N,N,N,Y,N,1,0,0,0,0,0,0.08333333333,0,0,0,0,0,1,Y,N,N,https://bioinfo.mc.vanderbilt.edu/VirusFinder/,Y,n,n,,n,n,n,https://bioinfo.mc.vanderbilt.edu/VirusFinder/,n,Y,"ViralFusionSeq, VirusSeq",n,147,12.25
ViralFusionSeq,https://doi.org/10.1093/bioinformatics/btt011,Viral detection,2013,N,N,Y,N,N,N,N,N,N,N,Y,1,0,0,0,0,1,0.08333333333,0,0,0,0,0.07692307692,"1,3",Y,N,Y,http://www.hkbic.cuhk.edu.hk/software/viralfusionseq/,N,https://github.com/TF-Chan-Lab/ViralFusionSeq,n,,n,n,n,n,n,N,,GPL 3,74,6.166666667
RNA CoMPASS,https://doi.org/10.1371/journal.pone.0089445,Viral detection,2014,Y,N,Y,N,N,N,N,N,N,N,N,0,0,0,0,0,2,0,0,0,0,0,0.1666666667,"1,3",Y,N,Y,https://rnacompass.sourceforge.net/,N,https://rnacompass.sourceforge.net/ and https://sourceforge.net/projects/rnacompass/,n,,n,n,n,n,n,N,n,n,104,9.454545455
MetaPORE,https://doi.org/10.1186/s13073-015-0220-9,Viral detection,2015,N,N,Y,N,N,N,N,N,N,N,N,0,0,0,0,0,1,0,0,0,0,0,0.09090909091,,N,N,N,https://github.com/chiulab/MetaPORE?tab=readme-ov-file,N,https://github.com/chiulab/MetaPORE,,,,,,,,N,,UCSF license for academic and non-profit use,595,59.5
ROP,https://doi.org/10.1186/s13059-018-1403-7,Viral detection,2018,N,N,Y,N,N,N,N,N,N,N,N,0,0,0,0,0,4,0,0,0,0,0,0.5,"1,3",Y,N,Y,https://github.com/smangul1/rop,N,https://github.com/smangul1/rop,n,,n,n,n,n,n,N,n,gpl 3,59,8.428571429
ViFi,10.1093/nar/gky180,Viral detection,2018,N,N,Y,N,N,N,N,N,N,N,N,0,0,0,0,0,1,0,0,0,0,0,0.125,"1,3",Y,N,Y,http://github.com/namphuon/ViFi,N,http://github.com/namphuon/ViFi,n,,n,n,n,n,n,Y,"VERSE, Virus-Clip and ViralFusionSeq",GPL 3,55,7.857142857
VirHostMatcher-Net,https://doi.org/10.1093/nargab/lqaa044,Viral detection,2020,N,N,Y,N,Y,N,N,N,N,N,N,0,3,0,0,0,1,0,0.5,0,0,0,0.1666666667,"1,2,3",Y,Y,Y,https://github.com/WeiliWw/VirHostMatcher-Net,N,https://github.com/WeiliWw/VirHostMatcher-Net,https://anaconda.org/HCC/virhostmatcher-net/files,,n,n,n,n,n,N,n,GNU General Public License,107,21.4
Viral-Track,10.1016/j.cell.2020.05.006,Viral detection,2020,N,N,Y,N,N,N,N,N,N,Y,N,0,0,0,0,0,1,0,0,0,0,0,0.1666666667,"1,3",Y,N,Y,https://github.com/PierreBSC/Viral-Track,N,https://github.com/PierreBSC/Viral-Track,n,,n,n,n,n,n,N,n,MIT,509,101.8
ViralVerify,10.1093/bioinformatics/btaa490,Viral detection,2020,N,N,Y,N,Y,N,N,Y,N,N,N,0,1,1,0,0,1,0,0.1666666667,0.1666666667,0,0,0.1666666667,"1,2,3",Y,Y,Y,https://github.com/ablab/viralVerify,N,https://github.com/ablab/viralVerify,https://anaconda.org/bioconda/viralverify,,n,https://pypi.org/project/viral-verify/,n,n,n,Y,MetaSPAdes,MIT,231,46.2
FastViFi,https://doi.org/10.1093/nargab/lqac032,Viral detection,2022,N,N,Y,N,N,N,N,N,N,Y,Y,0,0,0,0,0,1,0,0,0,0,0,0.25,"1,3",Y,N,Y,https://github.com/sara-javadzadeh/FastViFi,N,https://github.com/sara-javadzadeh/FastViFi,,,https://hub.docker.com/r/sarajava/fastvifi,,,,,Y,"ViFi, Kraken, DeepVirFinder (DVF), VIRUSBreakend, Blastn",GPL3,4,1.333333333
Strainline,doi.org/10.1186/s13059-021-02587-6,Viral detection,2022,N,N,Y,N,N,N,N,N,N,Y,Y,0,0,0,0,0,1,0,0,0,0,0,0.25,"1,3",Y,N,Y,https://github.com/HaploKit/Strainline,N,https://github.com/HaploKit/Strainline,,,https://hub.docker.com/r/evolbioinfo/strainline,,,,,Y,"Canu, Wtdbg2, CliqueSNV",GPL3,33,11
Venus,10.1371/journal.pcbi.1010636,Viral detection,2022,N,N,Y,N,N,N,N,N,N,Y,N,0,0,0,0,0,1,0,0,0,0,0,0.25,"1,3",Y,N,Y,https://github.com/aicb-ZhangLabs/Venus,N,https://github.com/aicb-ZhangLabs/Venus,n,,n,n,n,n,n,N,n,n,6,2
DVsc,https://doi.org/10.1093/gpbjnl/qzad007,Viral detection,2024,Y,N,Y,Y,N,N,N,N,N,N,N,1,0,0,0,0,0,1,0,0,0,0,0,"1,3",Y,N,Y,http://62.234.32.33:5000/DVsc,"N FOR GUI, BUT Y BROKEN FOR DOWNLOADING THE SOURCE CODE",,,,,,,,http://62.234.32.33:5000/DVsc,Y,"Venus, Viral-Track",No License,1,1
ASTALAVISTA,https://doi.org/10.1093/nar/gkm311,Visualization tools,2007,Y,N,N,N,N,N,N,N,N,N,N,1,0,0,0,0,0,0.05555555556,0,0,0,0,0,0,N,N,N,http://astalavista.sammeth.net/,Y,n,n,,n,n,n,http://astalavista.sammeth.net/,0,N,n,,318,17.66666667
IGV / igv.js,https://doi.org/10.1038/nbt.1754 https://academic.oup.com/bib/article/14/2/178/208453 https://aacrjournals.org/cancerres/article/77/21/e31/662624/Variant-Review-with-the-Integrative-Genomics https://academic.oup.com/bioinformatics/article/39/1/btac830/6958554,Visualization tools,2011,Y,N,Y,Y,Y,N,N,Y,Y,N,Y,12,49,8,0,0,245,0.8571428571,3.266666667,0.5333333333,0,0,16.33333333,"1,2,3",Y,Y,Y,http://www.broadinstitute.org/igv/,N,https://github.com/igvteam/igv,https://anaconda.org/bioconda/IGV,,https://biocontainers.pro/tools/bioconductor-igvr and https://biocontainers.pro/tools/igv and https://biocontainers.pro/tools/igvtools,https://pypi.org/project/igv/,,https://formulae.brew.sh/formula/igv,https://igv.org/app/ https://igv.org/doc/desktop/,N,,MIT,25734,1838.142857
SplicingViewer,https://doi.org/10.1016/j.ygeno.2011.12.003,Visualization tools,2012,N,N,Y,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,N/A due to broken link,N,N,N,http://bioinformatics.zj.cn/splicingviewer,Y,,,,,,,,http://www.wzgenomics.cn/SplicingViewer/index.php (also broken link),N,,N/A due to broken link,39,3
ZENBU,https://doi.org/10.1038/nbt.2840,Visualization tools,2014,Y,N,N,N,N,N,N,N,N,N,N,1,0,0,0,0,0,0.09090909091,0,0,0,0,0,"1,3",Y,N,Y,https://fantom.gsc.riken.jp/zenbu/,N,n,n,,n,n,n,n,https://fantom.gsc.riken.jp/zenbu/,N,n,,127,11.54545455
SplicePlot,https://doi.org/10.1093/bioinformatics/btt733,Visualization tools,2014,N,N,Y,N,N,N,N,N,N,N,N,1,0,0,0,0,0,0.09090909091,0,0,0,0,0,0,N,N,N,https://med.stanford.edu/montgomerylabspliceplot.html,Y,n,n,,n,n,n,https://med.stanford.edu/montgomerylabspliceplot.html,n,N,n,,16,1.454545455
PrimerSeq,https://doi.org/10.1016/j.gpb.2014.04.001,Visualization tools,2014,Y,N,N,N,N,N,N,N,N,N,N,1,0,0,0,0,2,0.09090909091,0,0,0,0,0.1666666667,"1,3",Y,N,Y,https://primerseq.sourceforge.net/,N,https://github.com/ctokheim/PrimerSeq,0,,0,0,0,0,0,N,n,,18,1.636363636
RNASeqViewer,https://doi.org/10.1093/bioinformatics/btt649,Visualization tools,2014,Y,N,N,N,N,N,N,N,N,N,N,1,0,0,0,0,0,0.09090909091,0,0,0,0,0,0,N,N,N,http://bioinfo.au.tsinghua.edu.cn/software/RNAseqViewer/,Y,n,n,,n,n,n,http://bioinfo.au.tsinghua.edu.cn/software/RNAseqViewer/,n,N,n,,9,0.8181818182
